Time,Phase_Change_Indices
1738245277.1493056,0.0
1738245277.1639578,0.0
1738245277.1798594,0.0
1738245277.198869,0.0
1738245277.2131207,0.0
1738245277.2306788,0.0
1738245277.2489522,0.0
1738245277.2647834,0.0
1738245277.2815523,0.0
1738245277.2995396,0.0
1738245277.3139744,0.0
1738245277.3316352,0.0
1738245277.3499925,0.0
1738245277.364819,0.0
1738245277.3818076,0.0
1738245277.3998835,0.0
1738245277.414644,0.0
1738245277.4321446,0.0
1738245277.450246,0.0
1738245277.464875,0.0
1738245277.4828975,0.0
1738245277.5001364,0.0
1738245277.5149012,0.0
1738245277.5327775,0.0
1738245277.5501578,0.0
1738245277.5647185,0.0
1738245277.5828424,0.0
1738245277.600303,0.0
1738245277.615177,0.0
1738245277.633212,0.0
1738245277.6507945,0.0
1738245277.6653595,0.0
1738245277.6835496,0.0
1738245277.700582,0.0
1738245277.7152636,0.0
1738245277.733619,0.0
1738245277.7505136,0.0
1738245277.7652962,0.0
1738245277.7829812,0.0
1738245277.8007586,0.0
1738245277.8153193,0.0
1738245277.8331757,0.0
1738245277.8507588,0.0
1738245277.865226,0.0
1738245277.883714,0.0
1738245277.901046,0.0
1738245277.9157658,0.0
1738245277.934635,0.0
1738245277.9516494,0.0
1738245277.9667048,0.0
1738245277.984574,0.0
1738245278.001933,0.0
1738245278.016775,0.0
1738245278.03526,0.0
1738245278.0529945,0.0
1738245278.0668316,0.0
1738245278.0854938,0.0
1738245278.102815,0.0
1738245278.117151,0.0
1738245278.1358092,0.0
1738245278.152712,0.0
1738245278.1676445,0.0
1738245278.1865425,0.0
1738245278.2024093,0.0
1738245278.2180734,0.0
1738245278.2361948,0.0
1738245278.2533662,0.0
1738245278.267809,0.0
1738245278.286146,0.0
1738245278.303179,0.0
1738245278.3176792,0.0
1738245278.3365946,0.0
1738245278.3535085,0.0
1738245278.368332,0.0
1738245278.3868165,0.0
1738245278.4027574,0.0
1738245278.418129,0.0
1738245278.4367015,0.0
1738245278.4533868,0.0
1738245278.4682248,0.0
1738245278.4866035,0.0
1738245278.5034893,0.0
1738245278.518551,0.0
1738245278.5368958,0.0
1738245278.553169,0.0
1738245278.567736,0.0
1738245278.586547,0.0
1738245278.6033115,0.0
1738245278.6179683,0.0
1738245278.6366785,0.0
1738245278.6534016,0.0
1738245278.668904,0.0
1738245278.6869843,0.0
1738245278.7043853,0.0
1738245278.718446,0.0
1738245278.737112,0.0
1738245278.7539155,0.0
1738245278.7685764,0.0
1738245278.7872458,0.0
1738245278.803503,0.0
1738245278.818642,0.0
1738245278.8370037,0.0
1738245278.8538227,0.0
1738245278.8686798,0.0
1738245278.8881602,0.0
1738245278.9041145,0.0
1738245278.9191794,0.0
1738245278.9375334,0.0
1738245278.954485,0.0
1738245278.9692273,0.0
1738245278.9877102,0.0
1738245279.0044298,0.0
1738245279.019015,0.0
1738245279.0376084,0.0
1738245279.054925,0.0
1738245279.0690768,0.0
1738245279.0879085,0.0
1738245279.1047602,0.0
1738245279.119823,0.0
1738245279.1381524,0.0
